,loss,accuracy,val_loss,val_accuracy,0
0,0.46564731001853943,0.8232925534248352,0.3056257963180542,0.8805031180381775,
1,0.17523691058158875,0.9366945624351501,0.11357145756483078,0.9635220170021057,
2,0.09933283925056458,0.9635953903198242,0.15512007474899292,0.948427677154541,
3,0.06950299441814423,0.9729381203651428,0.0725676640868187,0.9748427867889404,
4,0.051086749881505966,0.9821198582649231,0.12473417073488235,0.9572327136993408,
5,0.1281583607196808,0.9590850472450256,0.09220585972070694,0.9685534834861755,
6,0.033240821212530136,0.9895296096801758,0.11418604105710983,0.9647798538208008,
7,0.02691514976322651,0.9906572103500366,0.11639496684074402,0.9647798538208008,
8,0.025991695001721382,0.9893685579299927,0.22830988466739655,0.9371069073677063,
9,0.04439372569322586,0.985341489315033,0.11930938065052032,0.9647798538208008,
loss,,,,,0.05393055081367493
accuracy,,,,,0.98046875
