,loss,accuracy,val_loss,val_accuracy
0,1.4231436252593994,0.32981598377227783,1.1810358762741089,0.49099332094192505
1,1.1308696269989014,0.49658989906311035,0.8271831274032593,0.6479670405387878
2,0.8346877694129944,0.6492086052894592,0.5656293630599976,0.7781780958175659
3,0.6206929087638855,0.7565307021141052,0.5242459177970886,0.7740607261657715
4,0.4827977120876312,0.8038862347602844,0.5209726691246033,0.8003088235855103
5,0.3842165172100067,0.8491828441619873,0.5228889584541321,0.8028821349143982
6,0.3361668288707733,0.8711877465248108,0.39267978072166443,0.8414822220802307
7,0.2940543293952942,0.8884313702583313,0.3098627030849457,0.8811116814613342
8,0.19182007014751434,0.9305108785629272,0.3119623363018036,0.8852290511131287
9,0.22546452283859253,0.9142967462539673,0.23567268252372742,0.9083890914916992
