,loss,accuracy,val_loss,val_accuracy
0,7.973627090454102,0.515506386756897,0.9270949363708496,0.6731857657432556
1,0.857228696346283,0.684596598148346,0.8729017972946167,0.6860525012016296
2,0.6719169616699219,0.764251708984375,0.6567925810813904,0.7931034564971924
3,0.42978647351264954,0.8450649976730347,0.4391177296638489,0.851775586605072
4,0.3888476490974426,0.8692575097084045,0.5815572738647461,0.8368502259254456
5,0.30333828926086426,0.8984686732292175,0.5045062303543091,0.8651569485664368
6,0.27386975288391113,0.9065757393836975,0.42242008447647095,0.8939783573150635
7,0.30412960052490234,0.9034873247146606,0.44603070616722107,0.8847143650054932
8,0.24287456274032593,0.91854327917099,0.6147527694702148,0.8589809536933899
9,0.21609537303447723,0.9292240142822266,0.5426219701766968,0.8811116814613342
